GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
1	rs11576073	1	37196958	rs12123067	2021-07-27	33479212	Yao X	2021-01-21	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/33479212	Integrative analysis of genome-wide association studies identifies novel loci associated with neuropsychiatric disorders.	Major depressive disorder (MTAG)	at least 170,756 European ancestry cases, at least 329,443 European ancestry controls	NA	1p34.3	NR	FTLP18 - GRIK3	ENSG00000230214	ENSG00000163873		100500	64170	rs12123067-A	rs12123067	0	12123067	regulatory_region_variant	1	0.4218	2E-8	7.69897000433602		0.02339158	[0.015-0.031] unit increase	NR [NR]	N
1	rs11576073	1	37197319	rs4653218	2018-07-19	29662059	Howard DM	2018-04-16	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29662059	Genome-wide association study of depression phenotypes in UK Biobank identifies variants in excitatory synaptic pathways.	Depression (broad)	113,769 British ancestry cases, 208,811 British ancestry controls	NA	1p34.3	NR	NA - GRIK3		ENSG00000163873		NA	63809	rs4653218-C	rs4653218	0	4653218	regulatory_region_variant	1	0.579	1E-7	7		0.0063	[0.0039-0.0087] unit decrease	NR [7666894] (imputed)	N
1	rs11576073	1	37197319	rs4653218	2019-05-02	30867560	Hill WD	2019-03-13	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30867560	Genetic contributions to two special factors of neuroticism are associated with affluence, higher intelligence, better health, and longer life.	General factor of neuroticism	270,059 British ancestry individuals	NA	1p34.3	ENSG00000234481	NA - GRIK3		ENSG00000163873		NA	63809	rs4653218-T	rs4653218	0	4653218	regulatory_region_variant	1	NR	6E-11	10.2218487496164		0.011413	[0.008-0.0148] unit decrease	Affymetrix [18485882] (imputed)	N
1	rs11576073	1	37198130	rs11263943	2019-01-22	29500382	Nagel M	2018-03-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29500382	Item-level analyses reveal genetic heterogeneity in neuroticism.	Neurociticism	380,506 European ancestry individuals	NA	1p34.3	NR	NA - GRIK3		ENSG00000163873		NA	62998	rs11263943-A	rs11263943	0	11263943	intergenic_variant	1	0.428827	1E-11	11		6.78	z score increase	NR [10847151] (imputed)	N
1	rs11576073	1	37198130	rs11263943	2020-07-07	31972866	Nagel M	2020-01-23	Acta Psychiatr Scand	www.ncbi.nlm.nih.gov/pubmed/31972866	Genome-wide association study of the sensitivity to environmental stress and adversity (SESA) neuroticism cluster.	Sensitivity to environmental stress and adversity	351,827 European ancestry individuals	NA	1p34.3	NR	NA - GRIK3		ENSG00000163873		NA	62998	rs11263943-A	rs11263943	0	11263943	intergenic_variant	1	NR	8E-12	11.0969100130081		0.01615	NR unit increase	NR [7259579]	N
1	rs11576073	1	37200680	rs11576073	2018-10-31	29942085	Nagel M	2018-06-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29942085	Meta-analysis of genome-wide association studies for neuroticism in 449,484 individuals identifies novel genetic loci and pathways.	Neuroticism	449,484 European ancestry individuals	NA	1p34.3	NR	NA - GRIK3		ENSG00000163873		NA	60448	rs11576073-A	rs11576073	0	11576073	intergenic_variant	1	NR	3E-13	12.5228787452803		7.287	z score increase	Affymetrix [10847151] (imputed)	N
1	rs11576073	1	37202767	rs570399	2018-02-01	29255261	Luciano M	2017-12-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29255261	Association analysis in over 329,000 individuals identifies 116 independent variants influencing neuroticism.	Neuroticism	329,821 European ancestry individuals	122,867 European ancestry individuals	1p34.3	intergenic	FTLP18 - GRIK3	ENSG00000230214	ENSG00000163873		106309	58361	rs570399-A	rs570399	0	570399	regulatory_region_variant	1	0.57415	4E-12	11.397940008672		6.948	unit decrease	Illumina [18485882] (imputed)	N
1	rs11576073	1	37203485	rs481121	2018-10-18	30134803	Matana A	2018-04-11	Mol Med	www.ncbi.nlm.nih.gov/pubmed/30134803	Genome-wide meta-analysis identifies novel loci associated with parathyroid hormone level.	Plasma parathyroid hormone levels	806 Korculan (founder/genetic isolate) individuals, 831 Vis (founder/genetic isolate) individuals, 959 Croatian ancestry individuals	NA	1p34.3	GRIK1	NA - GRIK3		ENSG00000163873		NA	57643	rs481121-A	rs481121	0	481121	regulatory_region_variant	1	0.58	4E-7	6.39794000867204		0.14	[0.081-0.199] unit increase	Illumina [7411206] (imputed)	N
2	rs2821254	1	72565800	rs1905978	2022-08-05	35835914	Watanabe K	2022-07-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/35835914	Genome-wide meta-analysis of insomnia prioritizes genes associated with metabolic and psychiatric pathways.	Insomnia	390,751 European ancestry female cases, 1,018,386 European ancestry female controls	NA	1p31.1		NEGR1			ENSG00000172260	NA	NA	rs1905978-A	rs1905978	0	1905978	intron_variant	0	NR	3E-9	8.52287874528034		0.01	[0.0061-0.0139] unit increase	Illumina [10288913] (imputed)	N
2	rs2821254	1	72575560	rs2821248	2018-07-24	26426971	Winkler TW	2015-10-01	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/26426971	The Influence of Age and Sex on Genetic Associations with Adult Body Size and Shape: A Large-Scale Genome-Wide Interaction Study.	Body mass index (age <50)	up to 51,625 European ancestry men, up to 60,654 European ancestry women	NA	1p31.1	NEGR1	NEGR1			ENSG00000172260	NA	NA	rs2821248-A	rs2821248	0	2821248	intron_variant	0	0.83	8E-12	11.0969100130081		0.042	unit increase	Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	N
2	rs2821254	1	72575560	rs2821248	2018-07-24	26426971	Winkler TW	2015-10-01	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/26426971	The Influence of Age and Sex on Genetic Associations with Adult Body Size and Shape: A Large-Scale Genome-Wide Interaction Study.	Body mass index x sex x age interaction (4df test)	up to 51,625 European ancestry men aged <50, up to 60,654 European ancestry women aged <50, up to 90,988 European ancestry men aged >50, up to 106,622 European ancestry women aged >50	NA	1p31.1	NEGR1, NEGR1-IT1	NEGR1			ENSG00000172260	NA	NA	rs2821248-A	rs2821248	0	2821248	intron_variant	0	0.83	1E-12	12		NA		Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	N
2	rs2821254	1	72575560	rs2821248	2018-07-24	26426971	Winkler TW	2015-10-01	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/26426971	The Influence of Age and Sex on Genetic Associations with Adult Body Size and Shape: A Large-Scale Genome-Wide Interaction Study.	Body mass index	up to 309,889 European ancestry individuals	NA	1p31.1	NEGR1, NEGR1-IT1	NEGR1			ENSG00000172260	NA	NA	rs2821248-A	rs2821248	0	2821248	intron_variant	0	0.83	1E-12	12		NA		Affymetrix, Illumina, Perlegen [up to 2800000] (imputed)	N
2	rs2821254	1	72575560	rs2821248	2022-08-05	35835914	Watanabe K	2022-07-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/35835914	Genome-wide meta-analysis of insomnia prioritizes genes associated with metabolic and psychiatric pathways.	Insomnia	593,724 European ancestry cases, 1,771,286 European ancestry controls	NA	1p31.1		NEGR1			ENSG00000172260	NA	NA	rs2821248-A	rs2821248	0	2821248	intron_variant	0	NR	4E-14	13.397940008672		0.009	[0.007-0.011] unit increase	Illumina [10713943] (imputed)	N
2	rs2815748	1	72721237	rs202141514	2022-08-05	35835914	Watanabe K	2022-07-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/35835914	Genome-wide meta-analysis of insomnia prioritizes genes associated with metabolic and psychiatric pathways.	Insomnia	390,751 European ancestry female cases, 1,018,386 European ancestry female controls	NA	1p31.1		NEGR1			ENSG00000172260	NA	NA	rs202141514-T	rs202141514	0	202141514	intron_variant	0	NR	2E-15	14.698970004336		0.012	[0.0081-0.0159] unit increase	Illumina [10288913] (imputed)	N
